iter	Passed	Remaining
1204	19240	20677
1205	19282	20690
1206	19320	20696
1207	19357	20703
1208	19395	20710
1209	19430	20714
1210	19475	20730
1211	19514	20738
1212	19552	20745
1213	19589	20750
1214	19624	20755
1215	19660	20759
1216	19702	20770
1217	19737	20774
1218	19773	20779
1219	19808	20782
1220	19855	20798
1221	19896	20807
1222	19938	20818
1223	19977	20825
1224	20016	20833
1225	20053	20838
1226	20087	20840
1227	20123	20844
1228	20158	20847
1229	20192	20849
1230	20232	20856
1231	20266	20858
1232	20299	20858
1233	20331	20859
1234	20372	20867
1235	20406	20868
1236	20439	20868
1237	20472	20869
1238	20509	20874
1239	20544	20875
1240	20578	20876
1241	20610	20876
1242	20643	20876
1243	20679	20879
1244	20717	20884
1245	20750	20883
1246	20785	20885
1247	20823	20889
1248	20858	20891
1249	20898	20898
1250	20936	20902
1251	20973	20906
1252	21012	20912
1253	21050	20915
1254	21083	20915
1255	21120	20918
1256	21156	20920
1257	21194	20924
1258	21231	20927
1259	21267	20929
1260	21305	20933
1261	21342	20936
1262	21386	20946
1263	21423	20949
1264	21464	20955
1265	21500	20957
1266	21540	20962
1267	21575	20963
1268	21610	20963
1269	21646	20964
1270	21689	20972
1271	21726	20975
1272	21765	20979
1273	21803	20982
1274	21840	20984
1275	21889	20997
1276	21932	21005
1277	21973	21010
1278	22012	21014
1279	22051	21017
1280	22085	21016
1281	22121	21016
1282	22159	21019
1283	22193	21018
1284	22229	21019
1285	22266	21019
1286	22309	21027
1287	22351	21032
1288	22397	21042
1289	22439	21048
1290	22481	21053
1291	22520	21056
1292	22559	21059
1293	22593	21057
1294	22629	21056
1295	22661	21052
1296	22693	21048
1297	22725	21044
1298	22756	21040
1299	22792	21039
1300	22826	21037
1301	22858	21032
1302	22907	21043
1303	22944	21043
1304	22983	21046
1305	23018	21044
1306	23052	21041
1307	23085	21038
1308	23119	21035
1309	23154	21033
1310	23187	21029
1311	23218	21024
1312	23251	21019
1313	23285	21017
1314	23320	21015
1315	23353	21010
1316	23390	21010
1317	23422	21005
1318	23462	21007
1319	23501	21008
1320	23535	21005
1321	23570	21003
1322	23604	20999
1323	23640	20997
1324	23673	20993
1325	23708	20991
1326	23744	20989
1327	23857	21055
1328	23975	21124
1329	24049	21156
1330	24091	21159
1331	24133	21162
1332	24156	21148
1333	24179	21134
1334	24206	21124
1335	24227	21108
1336	24249	21093
1337	24265	21073
1338	24282	21054
1339	24300	21035
1340	24316	21016
1341	24333	20997
1342	24349	20977
1343	24367	20958
1344	24385	20940
1345	24404	20923
1346	24423	20906
1347	24439	20886
1348	24459	20869
1349	24487	20859
1350	24504	20840
1351	24521	20821
1352	24538	20802
1353	24555	20783
1354	24573	20764
1355	24589	20745
1356	24606	20725
1357	24622	20706
1358	24643	20690
1359	24665	20675
1360	24685	20658
1361	24703	20640
1362	24721	20622
1363	24741	20605
1364	24761	20589
1365	24782	20573
1366	24802	20556
1367	24823	20540
1368	24845	20526
1369	24872	20515
1370	24894	20500
1371	24919	20487
1372	24940	20471
1373	24958	20453
1374	24975	20434
1375	24996	20418
1376	25022	20407
1377	25045	20392
1378	25068	20378
1379	25089	20362
1380	25109	20345
1381	25130	20329
1382	25147	20311
1383	25162	20290
1384	25178	20270
1385	25195	20250
1386	25212	20231
1387	25228	20211
1388	25246	20193
1389	25262	20173
1390	25279	20154
1391	25297	20136
1392	25317	20119
1393	25334	20100
1394	25352	20081
1395	25370	20064
1396	25388	20045
1397	25405	20026
1398	25424	20008
1399	25442	19990
1400	25460	19972
1401	25478	19953
1402	25497	19936
1403	25518	19920
1404	25537	19903
1405	25556	19885
1406	25576	19868
1407	25598	19853
1408	25618	19836
1409	25637	19819
1410	25657	19802
1411	25677	19785
1412	25695	19766
1413	25714	19749
1414	25733	19732
1415	25752	19714
1416	25771	19696
1417	25790	19679
1418	25809	19662
1419	25829	19645
1420	25849	19627
1421	25867	19609
1422	25886	19591
1423	25905	19574
1424	25927	19559
1425	25947	19542
1426	25965	19524
1427	25985	19507
1428	26004	19489
1429	26022	19471
1430	26042	19454
1431	26060	19436
1432	26079	19418
1433	26097	19400
1434	26116	19382
1435	26134	19364
1436	26154	19347
1437	26172	19328
1438	26190	19310
1439	26209	19293
1440	26227	19275
1441	26246	19257
1442	26264	19239
1443	26284	19221
1444	26303	19204
1445	26326	19189
1446	26347	19173
1447	26367	19156
1448	26387	19139
1449	26410	19124
1450	26429	19107
1451	26448	19089
1452	26467	19072
1453	26487	19055
1454	26507	19038
1455	26527	19021
1456	26549	19005
1457	26568	18988
1458	26589	18971
1459	26610	18955
1460	26633	18940
1461	26652	18922
1462	26671	18905
1463	26689	18887
1464	26707	18868
1465	26724	18849
1466	26743	18831
1467	26760	18812
1468	26778	18793
1469	26796	18775
1470	26813	18756
1471	26830	18737
1472	26847	18718
1473	26866	18700
1474	26884	18682
1475	26903	18664
1476	26920	18645
1477	26939	18627
1478	26956	18609
1479	26973	18589
1480	26990	18570
1481	27007	18551
1482	27030	18536
1483	27048	18518
1484	27065	18499
1485	27086	18483
1486	27107	18466
1487	27127	18449
1488	27147	18432
1489	27170	18417
1490	27193	18402
1491	27214	18385
1492	27234	18368
1493	27254	18352
1494	27273	18334
1495	27302	18323
1496	27344	18320
1497	27383	18316
1498	27420	18310
1499	27458	18305
1500	27494	18298
1501	27538	18297
1502	27581	18296
1503	27627	18296
1504	27668	18292
1505	27706	18286
1506	27749	18284
1507	27786	18278
1508	27828	18275
1509	27868	18271
1510	27921	18275
1511	27973	18278
1512	28029	18284
1513	28087	18291
1514	28143	18297
1515	28196	18301
1516	28237	18297
1517	28271	18289
1518	28302	18278
1519	28339	18271
1520	28372	18261
1521	28401	18249
1522	28430	18237
1523	28456	18224
1524	28484	18211
1525	28512	18198
1526	28540	18185
1527	28567	18172
1528	28595	18159
1529	28623	18146
1530	28651	18133
1531	28681	18122
1532	28713	18112
1533	28745	18101
1534	28778	18092
1535	28809	18081
1536	28840	18069
1537	28870	18057
1538	28900	18046
1539	28930	18034
1540	28961	18023
1541	28991	18011
1542	29022	18000
1543	29053	17989
1544	29085	17978
1545	29117	17967
1546	29147	17955
1547	29179	17944
